id,name,company,type,address,city,postal,state,lat,lon,profile_url
14039,Microsoft Project Rita Campus,Microsoft,Campus,1960-2044 Georgia State Route 74,Tyrone,30290,Georgia,33.518186,-84.578005,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-project-rita-campus/
14309,Avemore Data Park,Atlas Development LLC,Campus,55-63 Goldworth Rd,Villa Rica,30180,Georgia,33.7048622,-84.9397347,https://www.datacentermap.com/usa/georgia/atlanta/avemore-data-park/
1649,470 Exchange,Facility Gateway Corporation,Colocation,470 East Paces Ferry Road,Atlanta,30327,Georgia,33.839281,-84.372804,https://www.datacentermap.com/usa/georgia/atlanta/470-exchange/
14112,Gregory Road Data Center,Unknown Company,Campus,Gregory Road,Covington,30014,Georgia,33.6443607,-83.8114506,https://www.datacentermap.com/usa/georgia/atlanta/gregory-road-data-center/
14344,Project Gracie,Atlas Development LLC,Campus,Vann Rd NW,Rome,30165,Georgia,34.26683,-85.29861,https://www.datacentermap.com/usa/georgia/atlanta/project-gracie/
12743,TA Realty ATL03,TA Realty,Campus,7170 Red Oak Rd,Union City,30291,Georgia,33.563092,-84.51279699999999,https://www.datacentermap.com/usa/georgia/atlanta/ta-realty-atl03/
12744,TA Realty - 4350 E Tanners Church,TA Realty,Colocation,4350 E Tanners Church Rd,Ellenwood,30294,Georgia,33.63739899999999,-84.304289,https://www.datacentermap.com/usa/georgia/atlanta/ta-realty-4350-e-tanners-church/
14052,Switch Atlanta North - The KEEP 2.0,Switch,Colocation,151 Etowah Ridge Trail SE,Cartersville,30120,Georgia,34.10738307071782,-84.80220272639676,https://www.datacentermap.com/usa/georgia/atlanta/switch-the-keep-20/
14862,Spalding Investments LLC,Unknown Company,Campus,High Falls Rd & South McDonough Rd,Griffin,30223,Georgia,33.24196498855439,-84.19537392734922,https://www.datacentermap.com/usa/georgia/atlanta/spalding-investments-llc/
10954,Southern Telecom Atlanta,Southern Telecom,Colocation,270 Peachtree St,Atlanta,30303,Georgia,33.7618627,-84.38782619999999,https://www.datacentermap.com/usa/georgia/atlanta/southern-telecom-atlanta/
14744,GrindCap Marietta DC-1,Grind Capital Group,Colocation,1751 Bells Ferry Rd,Marietta,30066,Georgia,33.9952631,-84.5542662,https://www.datacentermap.com/usa/georgia/atlanta/grindcap-marietta-dc-1/
14745,GrindCap Marietta DC-2,Grind Capital Group,Colocation,1751 Bells Ferry Rd,Marietta,30066,Georgia,33.9947076,-84.5524466,https://www.datacentermap.com/usa/georgia/atlanta/grindcap-marietta-dc-2/
14041,Microsoft Project Rita - Building 2,Microsoft,Hyperscaler,1960 Georgia State Route 74,Tyrone,30290,Georgia,33.515862,-84.578082,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-project-rita-building-2/
14040,Microsoft Project Rita - Building 1,Microsoft,Hyperscaler,2044 Georgia State Route 74,Tyrone,30290,Georgia,33.5205,-84.57796,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-project-rita-building-1/
1461,Lumen Atlanta,Lumen,Colocation,345 Courtland St NE,Atlanta,30308,Georgia,33.765095,-84.384112,https://www.datacentermap.com/usa/georgia/atlanta/level3-atlanta1/
5324,Lumen Doraville 1,Lumen,Colocation,6855 Cresecent Drive,Atlanta,30340,Georgia,33.907965,-84.23604,https://www.datacentermap.com/usa/georgia/atlanta/level3-dorabille1/
