id,name,company,type,address,city,postal,state,lat,lon,profile_url
8179,CoreSite Santa Clara (SV3),CoreSite,Colocation,2901 Coronado Drive,Santa Clara,95054,California,37.3751356,-121.9717501,https://www.datacentermap.com/usa/california/santa-clara/coresite-sv3/
11006,Colovore SJC02,Colovore,Colocation,3060 Raymond St,Santa Clara,95054,California,37.3773412,-121.9530364,https://www.datacentermap.com/usa/california/santa-clara/colovore-sjc02/
13865,Connect Santa Clara,Connect Data Centers by Oppidan,Colocation,715-805 Comstock St,Santa Clara,95054,California,37.3755405640663,-121.9476626925453,https://www.datacentermap.com/usa/california/santa-clara/connect-santa-clara/
9643,Evocative SJC14,Evocative Data Centers,Colocation,1525 Comstock Street,Santa Clara,95054,California,37.3749408,-121.955932,https://www.datacentermap.com/usa/california/santa-clara/evocative-sjc14/
7946,CoreSite Santa Clara (SV8),CoreSite,Colocation,3035 Stender Way,Santa Clara,95054,California,37.3774639,-121.9713031,https://www.datacentermap.com/usa/california/santa-clara/coresite-santa-clara-sv8/
11657,Vantage CA3 - Santa Clara III,Vantage Data Centers,Colocation,2590 Walsh Ave,Santa Clara,95051,California,37.3707768,-121.9745047,https://www.datacentermap.com/usa/california/santa-clara/vantage-ca3-santa-clara-iii/
10280,CloudHQ SJC1,CloudHQ,Colocation,552 Reed St,Santa Clara,95050,California,37.35936,-121.94266,https://www.datacentermap.com/usa/california/santa-clara/cloudhq-sjc1/
10595,Amazon AWS SFO - Mission College Campus,Amazon AWS,Campus,2305 Mission College Blvd,Santa Clara,95054,California,37.38990864152262,-121.966772987255,https://www.datacentermap.com/usa/california/santa-clara/aws-sfo-mission-college-campus/
5230,CoreSite Santa Clara (SV4),CoreSite,Colocation,2972 Stender Way,Santa Clara,95054,California,37.37599329999999,-121.970766,https://www.datacentermap.com/usa/california/santa-clara/coresite-sv4/
10796,China Telecom Santa Clara,China Telecom Americas,Colocation,2807 Mission College Blvd,Santa Clara,95054,California,37.3939384,-121.9781644,https://www.datacentermap.com/usa/california/santa-clara/china-telecom-santa-clara/
12317,LightEdge - Santa Clara,LightEdge,Colocation,2805 Bowers Ave,Santa Clara,95051,California,37.3725376,-121.9766373,https://www.datacentermap.com/usa/california/santa-clara/lightedge-santa-clara/
7945,CoreSite Santa Clara (SV7),CoreSite,Colocation,3020 Coronado Drive,Santa Clara,95054,California,37.37601069999999,-121.973083,https://www.datacentermap.com/usa/california/santa-clara/coresite-santa-clara-sv7/
10599,Amazon AWS SFO - 960 Central,Amazon AWS,Hyperscaler,960 Central Expy,Santa Clara,95050,California,37.372741,-121.953591,https://www.datacentermap.com/usa/california/santa-clara/amazon-aws-sfo-960-central/
10597,Amazon AWS SFO - 2305 Mission B,Amazon AWS,Hyperscaler,2305 Mission College Blvd,Santa Clara,95054,California,37.38986602005222,-121.9678887861565,https://www.datacentermap.com/usa/california/santa-clara/amazon-aws-sfo-2305-mission-b/
