id,name,type,address,city,postal,state,lat,lon,profile_url,meta_power_totalmw,meta_power_ups_redundancy,meta_power_cooling_redundancy,meta_power_standby_redundancy,meta_building_floors,meta_building_floor_load,meta_building_area_building,meta_building_rooftop_access,meta_building_area_whitespace,meta_building_year_operational,meta_capacity_mw_builtout,meta_capacity_buildingsize,meta_capacity_mw_referenced,meta_capacity_whitespace_builtout,meta_capacity_whitespace_referenced,meta_security_cctv,meta_security_staff,meta_security_guards,meta_security_keycard,meta_security_biometric,meta_amenities_meetmeroom,meta_standards_pci,meta_standards_soc2,meta_standards_soc3,meta_standards_hipaa,meta_standards_iso27001,meta_standards_nist80053,meta_standards_usgbc_leed,meta_standards_tier_designed,meta_security_mantrap,meta_security_firesupression,meta_security_firesupression_text,meta_amenities_loadingbay,meta_amenities_officespace,meta_amenities_conferenceroom,meta_standards_soc1,meta_standards_isae3402,meta_building_expandable,meta_building_construction,meta_building_tenancy_text,meta_standards_sas70,meta_standards_ssae16,meta_standards_tier_certified,meta_power_pue,meta_power_billing,meta_power_kw_rack,meta_power_renewable,meta_building_floor_type,meta_building_year_upgraded,meta_building_ceiling_height,meta_security_controlled_perimeter,meta_amenities_wifi,meta_amenities_breakroom,meta_amenities_crashcarts,meta_amenities_parking_text,meta_power_cooling_text,meta_power_standby_text,meta_amenities_loanertools,meta_standards_fisma,meta_standards_iso9001,meta_standards_iso22301,meta_standards_iso50001,meta_building_area_plot,meta_power_kw_area,meta_capacity_mw_live,meta_standards_fedramp,meta_standards_ssae18
9052,Equinix LA7,Colocation,1501 Francisco Street,Torrance,90501,California,33.85071,-118.30411,https://www.datacentermap.com/usa/california/los-angeles/equinix-la7/,,N+1,N+2,2N+1,1,250,,,74981,,,,,74981.0,74981.0,1.0,,"Yes, 24/7",,1.0,,2,2,,1,1,1,,,1.0,,Non-aspirated (duct/ceiling-mount)/doubleinterlocked pre-action (dry pipe),,,1.0,2,,,,,,,,,,,,Raised Floor,,,,1.0,1.0,1.0,Adjacent to the building (no charge),,,1.0,1,,1,1,,,,,
9051,Equinix LA3,Colocation,1920 E Maple Ave,El Segundo,90245,California,33.92608,-118.39412,https://www.datacentermap.com/usa/california/los-angeles/equinix-la3/,,N+1,N+1,N+1,1,250,,,78318,,,,,78318.0,78318.0,1.0,,"Yes, 24/7",,1.0,,2,2,,1,1,1,,,1.0,,"Double-interlocked, pre-action (dry pipe)",,,1.0,2,,,,,,,,,,,,Raised Floor,,,,1.0,1.0,1.0,Adjacent to the building (no charge),,,1.0,1,,1,1,,,,,
3582,Serverfarm LAX1,Colocation,444 North Nash Street,El Segundo,90245,California,33.921778,-118.38632,https://www.datacentermap.com/usa/california/los-angeles/t5-el-segundo/,,,N+1,,,,117500,,60000,,22,117500.0,22,60000.0,60000.0,1.0,,"Yes, 24/7",,,,1,2,,1,1,1,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,0.2,,,
3762,Evocative LAX14,Colocation,3690 Redondo Beach Avenue,Redondo Beach,90278,California,33.889081,-118.368877,https://www.datacentermap.com/usa/california/los-angeles/internap-los-angeles/,7.5,,,,,,104000,,24345,,7.5,104000.0,7.5,24345.0,24345.0,1.0,"Yes, 24/7","Yes, 24/7",,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,Mixed,,,,,,,,,,,,,,,,,,,
11611,UnitedLayer Los Angeles,Colocation,624 S Grand Ave,Los Angeles,90017,California,34.0479477,-118.2553576,https://www.datacentermap.com/usa/california/los-angeles/unitedlayer-los-angeles/,2,,N+1,,,,,,664248,,2,,2,664248.0,664248.0,,,,,,1.0,1,2,,1,1,1,,3,,1.0,"Dual-interlock, dry-pipe pre-action fire suppression system",,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0,
1027,CoreSite One Wilshire (LA1),Colocation,624 South Grand Avenue,Los Angeles,90017,California,34.049464,-118.254579,https://www.datacentermap.com/usa/california/los-angeles/one-wilshire/,,,,,,,,1.0,173000,,,,,173000.0,173000.0,,,"Yes, 24/7",,,1.0,1,,,1,1,,,,,,,,,,,,,Retrofitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,CoreSite Los Angeles (LA2),Colocation,900 North Alameda,Los Angeles,90017,California,34.058656,-118.236954,https://www.datacentermap.com/usa/california/los-angeles/wilshire-annex/,,,,,,,424000,1.0,,,,424000.0,,,,,,"Yes, 24/7",,,,1,,,1,1,,,,,,,,,,,,,Retrofitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,Equinix LA1,Colocation,600 West 7th Street,Los Angeles,90017,California,34.051484,-118.265757,https://www.datacentermap.com/usa/california/los-angeles/switch-data-los-angeles/,,N+1,N+1,N+1,7,100,,,60719,,,,,60719.0,60719.0,1.0,,"Yes, 24/7",,1.0,,2,2,,1,1,1,,,1.0,,"Double-interlocked, pre-action (dry pipe) deployed in two-zone configuration",,,1.0,2,,,,,,,,,,,,Solid Floor,,,,1.0,1.0,1.0,Adjacent to the building (no charge),,,1.0,1,,1,1,,,,,
4926,Xfernet Data Center,Colocation,3250 Wilshire Blvd,Koreatown,90010,California,34.0613935,-118.2931958,https://www.datacentermap.com/usa/california/los-angeles/xfernet-data-center/,,,,,,,,1.0,10000,1998,,,,10000.0,10000.0,1.0,,"Yes, 24/7",1.0,,,1,2,,1,,,,3,,1.0,"pre-action, dry-pipe, fire suppression system",,,,,,,,,2,,,,amp,,,,,,,,,,,,,,,,,,,,,,
5050,Psychz Los Angeles,Colocation,700 Wilshire Blvd,Los Angeles,90017,California,34.04867,-118.257536,https://www.datacentermap.com/usa/california/los-angeles/psla-data-center/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
